x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-115
120;-112
120;-110
120;-107
120;-101
120;-98
120;-94
120;-90
120;-83
120;-82
120;-82
120;-82
120;-82
120;-82
120;-81
120;-78
120;-72
120;-69
120;-66
120;-62
120;-55
120;-51
120;-48
120;-44
120;-39
120;-37
120;-35
120;-33
120;-29
120;-25
120;-21
120;-17
120;-10
120;-7
120;-3
120;0
120;7
120;11
120;14
120;18
120;25
120;28
120;32
120;35
120;41
120;43
120;44
120;46
120;49
120;52
120;55
120;58
120;65
120;68
120;71
120;74
120;79
120;82
120;84
120;86
120;86
120;86
120;86
120;86
120;89
120;93
120;96
120;99
120;106
120;109
120;113
120;117
120;124
120;128
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
120;129
117;129
115;129
110;129
108;129
106;129
104;126
100;119
99;115
95;108
95;108
95;101
95;97
95;90
95;86
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;84
95;80
95;78
95;76
95;72
95;71
95;71
95;71
95;71
95;71
95;71
89;71
86;71
83;71
81;71
78;71
77;71
77;71
77;71
77;71
77;67
77;65
77;62
77;59
77;57
76;55
74;55
73;55
71;55
67;55
66;55
66;55
66;55
66;55
66;55
66;51
66;48
66;41
66;38
66;35
66;34
66;34
66;34
66;34
66;34
64;34
62;34
59;34
57;34
52;34
49;34
46;34
43;34
38;34
34;33
33;32
33;30
33;26
33;25
33;23
33;21
33;18
33;17
33;15
33;14
32;14
30;14
27;14
25;14
20;14
18;14
16;14
15;14
11;14
10;12
8;9
8;7
8;2
8;0
8;-2
8;-5
8;-7
8;-9
8;-10
8;-11
7;-11
5;-11
3;-11
0;-11
-1;-11
-2;-11
-4;-11
-8;-11
-9;-12
-11;-15
-12;-17
-12;-22
-12;-25
-12;-27
-12;-27
-12;-27
-12;-27
-12;-27
-12;-27
-12;-27
-15;-27
-17;-27
-19;-27
-24;-30
-26;-33
-26;-37
-26;-40
-26;-47
-26;-47
-26;-47
-26;-47
-26;-47
-26;-47
-26;-47
-26;-47
-29;-47
-31;-47
-33;-47
-35;-49
-38;-56
-38;-59
-38;-62
-38;-67
-38;-67
-39;-67
-42;-67
-44;-67
-46;-67
-48;-67
-54;-67
-54;-67
-61;-67
-65;-67
-69;-67
-72;-67
-72;-67
-72;-67
-72;-67
-72;-70
-72;-75
-72;-78
-72;-80
-72;-83
-72;-89
-72;-93
-75;-96
-82;-103
-86;-104
-90;-104
-99;-104
-104;-104
-110;-104
-115;-104
-121;-104
-126;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-104
-129;-107
-129;-111
-129;-117
-129;-121
-129;-124
-129;-125
-129;-127
-129;-130
-129;-130
